,make,price,details
0,  2013 Mazda Demio     4 (5 Reviews)   ," KSh600,000 ",  Nairobi  Automatic  Silver 135000 km   Foreign Used 2013 Petrol 
1,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,100,000 ",  Nairobi  Automatic  Silver 72000 km   Foreign Used 2013 Petrol 
2,  2013 Mercedes-Benz CLA-Class  ," KSh3,600,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
3,  2012 Land Rover Freelander 2.0 Xdi  ," KSh2,200,000 ",  Nairobi  Automatic  Green 81000 km   Foreign Used 2012 Petrol 
4,  2013 Mercedes-Benz CLA-Class  ," KSh3,600,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
5,  2013 Mazda Axela Sport     4 (1 Review)   ," KSh1,050,000 ",  Mombasa  Automatic  Black 58000 km   Foreign Used 2013 Petrol 
6,  2013 Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,650,000 ",  Mombasa  Automatic  Black 74000 km   Foreign Used 2013 Petrol 
7,  2014 Toyota Harrier     5 (8 Reviews)   ," KSh3,600,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
8,  2013 Toyota Allion 1.8     5 (7 Reviews)   ," KSh1,380,000 ",  Mombasa  Automatic  White 87000 km   Foreign Used 2013 Petrol 
9,  2014 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh5,200,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
10,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,300,000 ",  Nairobi  Automatic  Black 127000 km   Foreign Used 2014 Petrol 
11,  2013 Toyota Mark X     5 (6 Reviews)   ," KSh1,700,000 ",  Mombasa  Automatic  Pearl 85236 km   Foreign Used 2013 Petrol 
12,  2013 Mitsubishi Outlander 2.4     4 (2 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
13,  2013 Volkswagen Golf 1.4 Tsi     4 (3 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  Grey 144434 km   Foreign Used 2013 Petrol 
14,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh1,940,000 ",  Nairobi  Automatic  Black 130000 km   Foreign Used 2013 Diesel 
15,  2014 Honda CR-V 2.4 EX 4x4 Automatic     5 (4 Reviews)   ," KSh2,725,000 ",  Nairobi  Automatic  Grey 104000 km   Foreign Used 2014 Petrol 
16,  2015 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,500,000 ",  Mombasa  Automatic  Black 1 km   Foreign Used 2015 Petrol 
17,  2013 Honda CR-V 2.0 i     5 (4 Reviews)   ," KSh2,350,000 ",  Nairobi  Automatic  Black 97000 km   Foreign Used 2013 Petrol 
18,  1985 Mercedes-Benz 190E  ," KSh490,000 ",  Nairobi  Automatic  Grey 150000 km   Locally Used 1985 Petrol 
19,  2013 Toyota Raum     4 (3 Reviews)   ," KSh890,000 ",  Mombasa  Automatic  Black 68000 km   Foreign Used 2013 Petrol 
20,  2013 Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,650,000 ",  Mombasa  Automatic  Black 74000 km   Foreign Used 2013 Petrol 
21,  2014 Toyota Harrier     5 (8 Reviews)   ," KSh3,600,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
22,  2013 Toyota Allion 1.8     5 (7 Reviews)   ," KSh1,380,000 ",  Mombasa  Automatic  White 87000 km   Foreign Used 2013 Petrol 
23,  2014 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh5,200,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
24,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,300,000 ",  Nairobi  Automatic  Black 127000 km   Foreign Used 2014 Petrol 
