make,model,location,color,price_in_Ksh,year_of_manufacture,transmission,mileage_in_km,fuel,foreign_local,review_score
mazda,demio,Nairobi,silver,600000,2013,Automatic,135000,Petrol,Foreign,3.7142857142857144
toyota,axio,Nairobi,silver,1100000,2013,Automatic,72000,Petrol,Foreign,3.6
mercedes-benz,cla-class,Mombasa,silver,3600000,2013,Automatic,NA,Petrol,Foreign,3
mercedes-benz,cla-class,Mombasa,silver,3600000,2013,Automatic,NA,Petrol,Foreign,3
mazda,axela,Mombasa,black,1050000,2013,Automatic,58000,Petrol,Foreign,3.3333333333333335
mitsubishi,rvr,Mombasa,black,1650000,2013,Automatic,74000,Petrol,Foreign,3
toyota,harrier,Mombasa,pearl,3600000,2014,Automatic,NA,Petrol,Foreign,4.6
toyota,allion,Mombasa,white,1380000,2013,Automatic,87000,Petrol,Foreign,4.555555555555555
toyota,fielder,Nairobi,black,1300000,2014,Automatic,127000,Petrol,Foreign,4.6
mitsubishi,outlander,Mombasa,silver,2300000,2013,Automatic,NA,Petrol,Foreign,3.5
volkswagen,golf,Mombasa,grey,1200000,2013,Automatic,144434,Petrol,Foreign,3.6
mazda,cx-5,Nairobi,black,1940000,2013,Automatic,130000,Diesel,Foreign,3.3333333333333335
honda,cr-v,Nairobi,grey,2725000,2014,Automatic,104000,Petrol,Foreign,4.333333333333333
mercedes-benz,c200,Mombasa,black,2500000,2015,Automatic,NA,Petrol,Foreign,4.5
honda,cr-v,Nairobi,black,2350000,2013,Automatic,97000,Petrol,Foreign,4.333333333333333
mercedes-benz,190e,Nairobi,grey,490000,1985,Automatic,150000,Petrol,Local,3
toyota,raum,Mombasa,black,890000,2013,Automatic,68000,Petrol,Foreign,3.6
mitsubishi,rvr,Mombasa,black,1650000,2013,Automatic,74000,Petrol,Foreign,3
toyota,harrier,Mombasa,pearl,3600000,2014,Automatic,NA,Petrol,Foreign,4.6
toyota,allion,Mombasa,white,1380000,2013,Automatic,87000,Petrol,Foreign,4.555555555555555
toyota,fielder,Nairobi,black,1300000,2014,Automatic,127000,Petrol,Foreign,4.6
mitsubishi,outlander,Mombasa,silver,2300000,2013,Automatic,NA,Petrol,Foreign,3.5
volkswagen,golf,Mombasa,grey,1200000,2013,Automatic,144434,Petrol,Foreign,3.6
mazda,cx-5,Nairobi,black,1940000,2013,Automatic,130000,Diesel,Foreign,3.3333333333333335
honda,cr-v,Nairobi,grey,2725000,2014,Automatic,104000,Petrol,Foreign,4.333333333333333
mercedes-benz,c200,Mombasa,black,2500000,2015,Automatic,NA,Petrol,Foreign,4.5
honda,cr-v,Nairobi,black,2350000,2013,Automatic,97000,Petrol,Foreign,4.333333333333333
mercedes-benz,190e,Nairobi,grey,490000,1985,Automatic,150000,Petrol,Local,3
toyota,raum,Mombasa,black,890000,2013,Automatic,68000,Petrol,Foreign,3.6
nissan,note,Nairobi,black,675000,2013,Automatic,56000,Petrol,Foreign,4.333333333333333
toyota,belta,Nairobi,silver,870000,2012,Automatic,104000,Petrol,Foreign,4.636363636363637
toyota,probox,Mombasa,silver,820000,2015,Automatic,87000,Petrol,Foreign,4.555555555555555
toyota,bb,Nairobi,maroon,700000,2012,Automatic,79000,Petrol,Foreign,3
mercedes-benz,e350,Nairobi,silver,2850000,2013,Automatic,124000,Petrol,Foreign,3
nissan,march,Nairobi,white,550000,2013,Automatic,42000,Petrol,Foreign,3
honda,insight,Nairobi,silver,630000,2011,Automatic,74000,Petrol,Local,3.3333333333333335
honda,cr-v,Nairobi,silver,2050000,2012,Automatic,69000,Petrol,Foreign,4.333333333333333
mazda,demio,Nairobi,blue,550000,2012,Automatic,NA,Petrol,Foreign,3.7142857142857144
toyota,rav4,Nairobi,pearl,2550000,2013,Automatic,72650,Petrol,Foreign,4.5
toyota,axio,Nairobi,white,520813,2013,Automatic,65000,Petrol,Foreign,3.6
toyota,probox,Nairobi,white,390610,2013,Automatic,121000,Petrol,Foreign,4.555555555555555
toyota,passo,Mombasa,maroon,620000,2013,Automatic,67000,Petrol,Foreign,3
suzuki,escudo,Nairobi,black,1770000,2012,Automatic,64000,Petrol,Foreign,3.5
mercedes-benz,c200,Mombasa,black,2250000,2013,Automatic,57000,Petrol,Foreign,4.5
toyota,probox,Nairobi,white,650000,2013,Automatic,97300,Petrol,Local,4.555555555555555
mazda,demio,Nairobi,silver,485000,2010,Automatic,NA,Petrol,Local,3.7142857142857144
mercedes-benz,e250,Mombasa,black,2850000,2013,Automatic,54000,Petrol,Foreign,3
mazda,cx-5,Mombasa,grey,1900000,2013,Automatic,87000,Petrol,Foreign,3.3333333333333335
honda,stepwagon,Nairobi,maroon,1280000,2013,Automatic,101106,Petrol,Foreign,3
mazda,cx-5,Mombasa,black,1870000,2013,Automatic,8500,Diesel,Foreign,3.3333333333333335
toyota,hilux,Nairobi,white,2200000,2011,Manual,NA,Diesel,Foreign,4.2
toyota,vitz,Mombasa,silver,760000,2013,Automatic,54000,Petrol,Foreign,4.733333333333333
toyota,raum,Nairobi,green,560000,2006,Automatic,NA,Petrol,Local,3.6
mazda,demio,Nairobi,maroon,545000,2012,Automatic,85000,Petrol,Local,3.7142857142857144
volvo,s60,Nairobi,black,1450000,2012,Automatic,70825,Petrol,Foreign,3
toyota,fielder,Mombasa,black,1350000,2013,Automatic,80000,Petrol,Foreign,4.6
volkswagen,tiguan,Mombasa,Not-specified,1950000,2013,Automatic,85000,Petrol,Foreign,3.3333333333333335
daihatsu,mira,Nairobi,white,555000,2013,Automatic,131000,Petrol,Foreign,3
honda,cr-v,Nairobi,silver,1500000,2010,Automatic,NA,Petrol,Local,4.333333333333333
toyota,porte,Nairobi,blue,500000,2010,Automatic,NA,Petrol,Local,3
nissan,navara,Nairobi,grey,1250000,2008,Automatic,NA,Petrol,Local,3
toyota,hilux,Nairobi,white,730000,2003,Manual,NA,Diesel,Local,4.2
toyota,premio,Nairobi,gold,730000,2005,Automatic,NA,Petrol,Local,4.764705882352941
mitsubishi,colt,Nairobi,silver,460000,2010,Automatic,NA,Other,Local,3
audi,a4,Mombasa,grey,2400000,2013,Automatic,59194,Petrol,Foreign,3.3333333333333335
nissan,note,Nairobi,maroon,690000,2013,Automatic,93000,Petrol,Foreign,4.333333333333333
toyota,fortuner,Nairobi,white,3750000,2013,Automatic,67000,Diesel,Foreign,4
subaru,forester,Nairobi,silver,2170000,2013,Automatic,87000,Petrol,Foreign,4.636363636363637
subaru,forester,Nairobi,black,2240000,2013,Automatic,88000,Petrol,Foreign,4.636363636363637
toyota,fortuner,Nairobi,white,3950000,2013,Automatic,68000,Diesel,Foreign,4
honda,cr-v,Nairobi,black,1450000,2009,Automatic,127000,Petrol,Local,4.333333333333333
subaru,forester,Nairobi,Not-specified,2200000,2013,Automatic,88000,Petrol,Foreign,4.636363636363637
subaru,forester,Nairobi,gold,2250000,2013,Automatic,50000,Petrol,Foreign,4.636363636363637
subaru,forester,Nairobi,pearl,2130000,2013,Automatic,71000,Petrol,Foreign,4.636363636363637
toyota,hilux,Nairobi,black,3100000,2013,Manual,100000,Diesel,Foreign,4.2
nissan,x-trail,Nairobi,black,1200000,2009,Automatic,75000,Petrol,Local,3.75
nissan,x-trail,Nairobi,silver,1150000,2010,Automatic,75000,Petrol,Local,3.75
toyota,fielder,Nairobi,white,1180000,2013,Automatic,67000,Petrol,Foreign,4.6
toyota,wish,Nairobi,black,1320000,2013,Automatic,71000,Petrol,Foreign,3.6666666666666665
mazda,cx-5,Nairobi,Not-specified,1950000,2013,Automatic,76521,Diesel,Foreign,3.3333333333333335
toyota,t100,Nairobi,grey,320000,1998,Manual,NA,Petrol,Local,3
toyota,wish,Nairobi,blue,1100000,2012,Automatic,NA,Petrol,Local,3.6666666666666665
honda,cr-v,Nairobi,green,450000,1997,Manual,NA,Petrol,Local,4.333333333333333
toyota,fielder,Mombasa,Not-specified,1350000,2013,Automatic,62761,Petrol,Foreign,4.6
mitsubishi,galant,Mombasa,silver,1250000,2013,Automatic,101235,Petrol,Foreign,3.5
toyota,axio,Nairobi,white,720000,2008,Automatic,NA,Petrol,Local,3.6
volkswagen,tiguan,Mombasa,silver,1980000,2013,Automatic,86000,Petrol,Foreign,3.3333333333333335
audi,a1,Mombasa,pearl,1450000,2013,Automatic,NA,Petrol,Foreign,3
bmw,116i,Mombasa,white,1300000,2013,Automatic,56000,Petrol,Foreign,3
mazda,cx-5,Mombasa,black,1850000,2013,Automatic,79000,Diesel,Foreign,3.3333333333333335
mazda,cx-5,Nairobi,black,2100000,2013,Automatic,63000,Petrol,Foreign,3.3333333333333335
mazda,cx-5,Nairobi,red,2100000,2013,Automatic,88000,Petrol,Foreign,3.3333333333333335
mazda,cx-5,Nairobi,grey,2100000,2013,Automatic,121000,Petrol,Foreign,3.3333333333333335
volkswagen,passat,Mombasa,silver,1550000,2013,Automatic,117048,Petrol,Foreign,3
honda,cr-v,Mombasa,black,2050000,2013,Automatic,87000,Petrol,Foreign,4.333333333333333
audi,q3,Nairobi,Not-specified,2700000,2013,Automatic,91000,Petrol,Foreign,3
ford,escape,Nairobi,white,1750000,2012,Automatic,85000,Petrol,Foreign,3
subaru,xv,Nairobi,white,1850000,2013,Automatic,104000,Petrol,Foreign,3
nissan,sylphy,Nairobi,red,1180000,2013,Automatic,119000,Petrol,Foreign,3
subaru,outback,Nairobi,silver,2100000,2012,Automatic,111000,Petrol,Foreign,4.2
mercedes-benz,c250,Nairobi,white,2400000,2013,Automatic,44000,Petrol,Foreign,3
mercedes-benz,c200,Nairobi,white,1450000,2008,Automatic,129000,Petrol,Local,4.5
mazda,cx-5,Nairobi,grey,2100000,2013,Automatic,77000,Diesel,Foreign,3.3333333333333335
honda,fit,Nairobi,black,690000,2011,Automatic,86000,Petrol,Local,4.666666666666667
mercedes-benz,e350,Nairobi,silver,3650000,2012,Automatic,99000,Diesel,Foreign,3
toyota,harrier,Nairobi,black,2600000,2011,Automatic,99000,Petrol,Foreign,4.6
peugeot,3008,Nairobi,red,1550000,2012,Automatic,56000,Petrol,Foreign,3
toyota,harrier,Nairobi,black,2800000,2012,Automatic,65000,Petrol,Foreign,4.6
toyota,rush,Nairobi,Not-specified,1550000,2012,Automatic,90000,Petrol,Foreign,3
toyota,rav4,Nairobi,silver,3200000,2014,Automatic,52000,Diesel,Foreign,4.5
toyota,rav4,Nairobi,silver,3200000,2014,Automatic,52000,Diesel,Foreign,4.5
toyota,land,Nairobi,white,4000000,2010,Manual,63000,Diesel,Foreign,4.555555555555555
jeep,wrangler,Nairobi,black,3700000,2011,Automatic,119000,Petrol,Foreign,3
mazda,cx-5,Nairobi,red,1950000,2013,Automatic,111000,Petrol,Foreign,3.3333333333333335
honda,fit,Mombasa,Not-specified,750000,2013,Automatic,NA,Petrol,Foreign,4.666666666666667
toyota,ractis,Nairobi,black,775000,2012,Automatic,103000,Petrol,Foreign,4.555555555555555
volkswagen,golf,Mombasa,black,1650000,2014,Automatic,90000,Petrol,Foreign,3.6
toyota,vanguard,Nairobi,pearl,2480000,2012,Automatic,47994,Petrol,Foreign,3.3333333333333335
volkswagen,passat,Nairobi,blue,1400000,2012,Manual,170150,Diesel,Local,3
toyota,land,Nairobi,Not-specified,4300000,2008,Unknown,NA,Other,Local,4.555555555555555
nissan,march,Nairobi,purple,510000,2012,Automatic,105,Petrol,Foreign,4.428571428571429
